feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
X375288	Continent	Europe	-12.9339891143412	1.13567562968668	122	50	8.97864088300085e-21	3.77102917086036e-19
X189330	Continent	Europe	7.49464778475213	1.2309440638474	122	30	1.43562379279058e-08	3.01480996486021e-07
X1730	Continent	Europe	7.5063107805983	1.26489657867082	122	97	2.97754309439078e-08	4.16856033214709e-07
X33042	Continent	Europe	7.21541676046245	1.28879261361644	122	31	1.41059581450267e-07	1.4811256052278e-06
X1263	Continent	Europe	8.05611860952914	1.45921319893221	122	83	2.00841156710011e-07	1.53827017421647e-06
X292632	Continent	Europe	8.19078250774659	1.48896881893552	122	78	2.19752882030924e-07	1.53827017421647e-06
X816	Continent	Europe	-4.7597164636439	0.977702488803795	122	111	3.49487319467581e-06	2.09692391680549e-05
X39948	Continent	Europe	6.61745254394007	1.36953852854118	122	31	4.07293585071083e-06	2.13829132162318e-05
X561	Continent	Europe	-5.78176524138767	1.42890561685136	122	31	9.28775206027579e-05	0.000433428429479537
X239759	Continent	Europe	-6.00612076427907	1.5863499940285	122	48	0.000241277156332148	0.00101336405659502
X158846	Continent	Europe	-4.23528446476872	1.21812651719758	122	20	0.000709013157227429	0.00270714114577745
X906	Continent	Europe	-3.23651341465128	1.0661461032369	122	15	0.00294836530386592	0.0103192785635307
X216851	Continent	Europe	3.74077370182775	1.49929837074481	122	89	0.0139661714527818	0.0445585125263088
X1485	Continent	Europe	-3.63298775854042	1.46969808171332	122	34	0.0148528375087696	0.0445585125263088
X1301	Continent	Europe	2.98938266683659	1.23138958200193	122	20	0.0166948558718418	0.0467455964411571
X841	Nr..reads.sequenced	Nr..reads.sequenced	2.29968854923742e-07	1.10575140701542e-07	122	42	0.0396954816084595	0.104200639222206
X816	Nr..reads.sequenced	Nr..reads.sequenced	-1.16110029090877e-07	6.75764467162205e-08	122	111	0.0883604404856579	0.218302264729273
X33042	Nr..reads.sequenced	Nr..reads.sequenced	-1.49587668463001e-07	8.90782486284412e-08	122	31	0.0957205392031026	0.223347924807239
X158846	Nr..reads.sequenced	Nr..reads.sequenced	1.2158594406531e-07	8.41939778467077e-08	122	20	0.151333808382026	0.334527365897109
X189330	Nr..reads.sequenced	Nr..reads.sequenced	-1.07171086375966e-07	8.50798958720098e-08	122	30	0.210259751441778	0.421517662325145
X561	Nr..reads.sequenced	Nr..reads.sequenced	-1.21564836362598e-07	9.87625227361387e-08	122	31	0.220794965979838	0.421517662325145
X239934	Continent	Europe	1.70348601053767	1.35955648722967	122	23	0.212672419460983	0.421517662325145
X1578	Nr..reads.sequenced	Nr..reads.sequenced	8.84798800665067e-08	7.66760886873197e-08	122	15	0.250835577501345	0.458047576306804
X1578	Continent	Europe	-1.1585406182309	1.10935697841803	122	15	0.298447118202302	0.522282456854029
X572511	Nr..reads.sequenced	Nr..reads.sequenced	-9.11286856072111e-08	1.14836022668289e-07	122	73	0.429034096669646	0.630602640592825
X841	Continent	Europe	1.31985834955299	1.59981170240751	122	42	0.411017464062744	0.630602640592825
X1485	Nr..reads.sequenced	Nr..reads.sequenced	8.2272864083739e-08	1.01581999887659e-07	122	34	0.419605192303651	0.630602640592825
X838	Continent	Europe	-1.10009510041189	1.30809497667624	122	18	0.402040121237519	0.630602640592825
X838	Nr..reads.sequenced	Nr..reads.sequenced	7.07568076019201e-08	9.04123815817117e-08	122	18	0.43541610898076	0.630602640592825
X216851	Nr..reads.sequenced	Nr..reads.sequenced	6.9507042360284e-08	1.03627900739327e-07	122	89	0.50368797197885	0.682415962035862
X1730	Nr..reads.sequenced	Nr..reads.sequenced	6.06155530387992e-08	8.74266121125028e-08	122	97	0.489453088990265	0.682415962035862
X292632	Nr..reads.sequenced	Nr..reads.sequenced	6.2228079492081e-08	1.02913946939028e-07	122	78	0.546555279460005	0.696720096732118
X239759	Nr..reads.sequenced	Nr..reads.sequenced	6.61543329316622e-08	1.09644699765366e-07	122	48	0.547422933146664	0.696720096732118
X1301	Nr..reads.sequenced	Nr..reads.sequenced	-2.83908373687805e-08	8.51106890163205e-08	122	20	0.739286997751624	0.913236879575535
X1263	Nr..reads.sequenced	Nr..reads.sequenced	3.05889985907663e-08	1.00857309983832e-07	122	83	0.762198568246035	0.914638281895242
X1678	Nr..reads.sequenced	Nr..reads.sequenced	-2.85821711492788e-08	1.19777740868625e-07	122	51	0.811805480871259	0.92150892423224
X375288	Nr..reads.sequenced	Nr..reads.sequenced	1.95838323651088e-08	7.84951706222293e-08	122	50	0.80341120725558	0.92150892423224
X906	Nr..reads.sequenced	Nr..reads.sequenced	1.23097859410538e-08	7.36894568257078e-08	122	15	0.867614642885234	0.934354230799482
X239934	Nr..reads.sequenced	Nr..reads.sequenced	1.69308958335051e-08	9.39692775349013e-08	122	23	0.857321805794523	0.934354230799482
X572511	Continent	Europe	0.176493779387515	1.66145854987912	122	73	0.915580151085843	0.961359158640135
X39948	Nr..reads.sequenced	Nr..reads.sequenced	-4.19361741242755e-09	9.46592122446228e-08	122	31	0.964737721489856	0.981525050377826
X1678	Continent	Europe	0.0402144714042833	1.73295580104009	122	51	0.981525050377826	0.981525050377826
