feature	X158846	X39948	X906	X1578	X1301	X1263	X216851	X292632	X572511	X33042	X841	X189330	X1485	X1730	X1678	X561	X838	X239759	X816	X375288	X239934
ERR260139	-3.49803554121461	-3.49803554121461	-3.49803554121461	-3.49803554121461	-3.49803554121461	15.9130336247128	12.2729961180008	15.3070432913427	13.7089183486276	14.2384894974362	-3.49803554121461	14.2241015071485	-3.49803554121461	16.0276172286706	14.6030403230519	-3.49803554121461	-3.49803554121461	-3.49803554121461	-3.49803554121461	-3.49803554121461	-3.49803554121461
ERR260140	-3.5211152962535	14.0216465351157	-3.5211152962535	-3.5211152962535	-3.5211152962535	15.7682529149596	13.1915219866922	14.4878654580494	14.2036404325263	-3.5211152962535	-3.5211152962535	13.807453019098	-3.5211152962535	15.1815664207214	-3.5211152962535	-3.5211152962535	-3.5211152962535	-3.5211152962535	15.8928320391179	-3.5211152962535	-3.5211152962535
ERR260144	-3.53255304601904	14.3345354992032	-3.53255304601904	-3.53255304601904	-3.53255304601904	14.8182297848769	14.1125767128364	14.6700774163716	-3.53255304601904	14.6836366151872	14.0794215291889	14.2601501080946	-3.53255304601904	16.0515284796184	-3.53255304601904	-3.53255304601904	-3.53255304601904	-3.53255304601904	13.694306557327	-3.53255304601904	-3.53255304601904
ERR260149	-3.55614465743593	-3.55614465743593	-3.55614465743593	-3.55614465743593	14.2296899079051	14.8242577046287	13.8810580218318	15.2847190273475	13.5725004799197	16.0316228932385	-3.55614465743593	-3.55614465743593	-3.55614465743593	14.9174226205234	-3.55614465743593	-3.55614465743593	-3.55614465743593	14.1977951908348	14.6382864788998	-3.55614465743593	-3.55614465743593
ERR260151	-3.50953685163556	-3.50953685163556	-3.50953685163556	-3.50953685163556	-3.50953685163556	15.6395230772742	13.5036259356033	14.6684428464089	-3.50953685163556	13.553440914183	-3.50953685163556	-3.50953685163556	-3.50953685163556	14.4953284185022	-3.50953685163556	-3.50953685163556	14.7545158246301	-3.50953685163556	13.8355027646594	-3.50953685163556	-3.50953685163556
ERR260152	-3.53071442899037	-3.53071442899037	-3.53071442899037	-3.53071442899037	13.634812525731	15.626613505755	14.5685978538922	14.6296866891247	14.6730297230581	13.499198000622	-3.53071442899037	14.9778489880962	-3.53071442899037	15.5354399629373	-3.53071442899037	-3.53071442899037	-3.53071442899037	-3.53071442899037	13.4912066234272	-3.53071442899037	-3.53071442899037
ERR260155	-3.55599136793652	15.0478439274401	-3.55599136793652	-3.55599136793652	13.9679610710234	15.0007313731837	14.5786805828511	-3.55599136793652	14.8788486684332	14.2643109850256	-3.55599136793652	-3.55599136793652	-3.55599136793652	15.064064695568	-3.55599136793652	-3.55599136793652	-3.55599136793652	14.3973653693725	-3.55599136793652	-3.55599136793652	-3.55599136793652
ERR260159	-3.54232029091242	15.1045792788465	-3.54232029091242	-3.54232029091242	13.8251440315704	15.1489141767728	13.9961426156615	-3.54232029091242	-3.54232029091242	-3.54232029091242	13.803141425854	14.0687446451104	-3.54232029091242	15.5285949185875	13.7877877898013	-3.54232029091242	-3.54232029091242	-3.54232029091242	15.802801881555	-3.54232029091242	-3.54232029091242
ERR260161	-3.54921145244369	-3.54921145244369	-3.54921145244369	-3.54921145244369	14.1416643713709	15.442256734898	-3.54921145244369	15.3274627411692	14.2352448492416	-3.54921145244369	14.689162946599	14.3995823058601	-3.54921145244369	15.5889870864817	13.5839228670571	-3.54921145244369	-3.54921145244369	-3.54921145244369	13.912539837739	-3.54921145244369	-3.54921145244369
ERR260162	-3.50247173469769	-3.50247173469769	-3.50247173469769	13.4519966426856	15.5108560710458	14.3771286416359	13.9258387745753	14.3468900227657	13.8517289369112	14.7855755105456	13.5122016576211	-3.50247173469769	-3.50247173469769	15.8292379260282	-3.50247173469769	-3.50247173469769	-3.50247173469769	-3.50247173469769	-3.50247173469769	-3.50247173469769	-3.50247173469769
ERR260165	-3.53470884804363	-3.53470884804363	-3.53470884804363	-3.53470884804363	-3.53470884804363	15.8983833917024	14.8066288709002	13.8478270684727	14.7894543985898	-3.53470884804363	13.5493016749132	-3.53470884804363	14.8825410272036	14.9664729692859	-3.53470884804363	-3.53470884804363	-3.53470884804363	-3.53470884804363	14.8445591123236	-3.53470884804363	13.199058864223
ERR260166	-3.55058545278816	-3.55058545278816	-3.55058545278816	-3.55058545278816	-3.55058545278816	14.0251387111731	13.6114868058773	14.2986948537163	-3.55058545278816	14.1929868201035	-3.55058545278816	-3.55058545278816	-3.55058545278816	15.3730197890815	-3.55058545278816	-3.55058545278816	-3.55058545278816	-3.55058545278816	15.7256844025076	-3.55058545278816	15.1455656102483
ERR260167	-3.51744061766367	14.0937344174797	-3.51744061766367	-3.51744061766367	-3.51744061766367	14.7890888739662	13.7107972956122	13.4021812143001	14.3991981249733	-3.51744061766367	13.4837364290291	-3.51744061766367	14.4245105524829	15.6916111238329	-3.51744061766367	-3.51744061766367	-3.51744061766367	-3.51744061766367	16.1504448218797	-3.51744061766367	-3.51744061766367
ERR260169	-3.54107189161267	-3.54107189161267	-3.54107189161267	-3.54107189161267	-3.54107189161267	13.6492133905918	13.9569202224942	14.1215583054276	-3.54107189161267	15.0522167253607	14.2076457170277	13.5710308396322	-3.54107189161267	15.939040163865	-3.54107189161267	-3.54107189161267	-3.54107189161267	-3.54107189161267	15.3196106501584	-3.54107189161267	-3.54107189161267
ERR260173	-3.55611920121193	-3.55611920121193	-3.55611920121193	-3.55611920121193	-3.55611920121193	14.5684466941666	14.5093640924844	15.1950803858872	-3.55611920121193	-3.55611920121193	-3.55611920121193	-3.55611920121193	-3.55611920121193	14.6574008449213	15.663171738205	-3.55611920121193	-3.55611920121193	-3.55611920121193	14.1428852702053	-3.55611920121193	-3.55611920121193
ERR260174	-3.45575448504465	-3.45575448504465	-3.45575448504465	-3.45575448504465	-3.45575448504465	13.2718513244846	15.0832336104198	13.7437564636648	-3.45575448504465	-3.45575448504465	-3.45575448504465	-3.45575448504465	-3.45575448504465	14.064678669845	-3.45575448504465	-3.45575448504465	-3.45575448504465	13.6369197113935	15.2393711121774	-3.45575448504465	13.8959242565927
ERR260176	-3.50516411198235	-3.50516411198235	-3.50516411198235	15.8726460020659	13.3177157953515	13.3809311038319	15.2198788220489	-3.50516411198235	-3.50516411198235	13.3753436006915	-3.50516411198235	-3.50516411198235	-3.50516411198235	14.5624793636593	13.9223178845539	-3.50516411198235	15.8742843120129	-3.50516411198235	-3.50516411198235	-3.50516411198235	-3.50516411198235
ERR260178	-3.5534714744232	14.3410703433514	-3.5534714744232	-3.5534714744232	-3.5534714744232	14.7109974787379	15.396071261674	15.4888013757478	13.5186576452781	-3.5534714744232	14.5539659543371	-3.5534714744232	-3.5534714744232	14.9517526125937	13.8700853363737	-3.5534714744232	-3.5534714744232	-3.5534714744232	14.6470425455646	-3.5534714744232	-3.5534714744232
ERR260179	-3.53663348813815	14.0494701655948	-3.53663348813815	-3.53663348813815	-3.53663348813815	-3.53663348813815	15.4347376218407	14.9280641508004	14.0461540559771	-3.53663348813815	13.9207881006426	14.2253401678907	14.3300183496501	15.510525653172	14.4103407955434	-3.53663348813815	-3.53663348813815	-3.53663348813815	-3.53663348813815	-3.53663348813815	-3.53663348813815
ERR260181	-3.55778392186686	14.3005305224585	-3.55778392186686	-3.55778392186686	-3.55778392186686	14.2430688927207	15.0183181314639	14.0479503238953	14.1055609471915	-3.55778392186686	15.4702464395946	13.9131036226841	-3.55778392186686	14.9114012406717	-3.55778392186686	-3.55778392186686	-3.55778392186686	-3.55778392186686	15.6278249883937	-3.55778392186686	-3.55778392186686
ERR260182	14.6678497883084	14.4262389565396	-3.55978369559333	-3.55978369559333	14.9024515841054	-3.55978369559333	13.8513637751422	15.1975906961813	-3.55978369559333	-3.55978369559333	-3.55978369559333	-3.55978369559333	-3.55978369559333	14.8919305006336	-3.55978369559333	-3.55978369559333	14.9243318449917	13.9254948757642	14.9247447152868	-3.55978369559333	-3.55978369559333
ERR260185	-3.52374821722237	-3.52374821722237	-3.52374821722237	-3.52374821722237	-3.52374821722237	15.0944874723719	14.2071397339157	15.356153234928	14.8004007120335	14.0177087721149	-3.52374821722237	-3.52374821722237	-3.52374821722237	14.5256905830746	14.1752068638579	-3.52374821722237	-3.52374821722237	-3.52374821722237	14.3141489435167	-3.52374821722237	-3.52374821722237
ERR260186	-3.54891985058271	-3.54891985058271	-3.54891985058271	-3.54891985058271	-3.54891985058271	15.1639602549901	14.5854578829079	15.6507783880712	-3.54891985058271	14.6574928504443	14.2668919719651	14.147954505945	-3.54891985058271	14.1962532375797	-3.54891985058271	-3.54891985058271	-3.54891985058271	-3.54891985058271	14.5419865894326	-3.54891985058271	14.0992587902244
ERR260188	-3.52887882124789	14.1089926040809	-3.52887882124789	-3.52887882124789	14.0088057491561	15.0299800114454	13.9397182222425	14.0719298696589	-3.52887882124789	-3.52887882124789	14.0447900447537	-3.52887882124789	-3.52887882124789	16.037466361308	-3.52887882124789	-3.52887882124789	15.5400040424511	-3.52887882124789	13.7868294810751	-3.52887882124789	-3.52887882124789
ERR260189	-3.54784355126612	14.5919188743902	-3.54784355126612	-3.54784355126612	-3.54784355126612	15.26078307136	-3.54784355126612	15.3567560606048	-3.54784355126612	-3.54784355126612	-3.54784355126612	13.8515886696054	-3.54784355126612	15.6576424422049	14.087993517091	-3.54784355126612	-3.54784355126612	14.0137275368952	14.042290599778	-3.54784355126612	-3.54784355126612
ERR260190	-3.47660648335412	-3.47660648335412	-3.47660648335412	-3.47660648335412	-3.47660648335412	13.8894549623246	-3.47660648335412	16.341975997231	14.5475634577715	-3.47660648335412	-3.47660648335412	13.7131447333508	-3.47660648335412	14.1993832490059	-3.47660648335412	13.7918301875101	-3.47660648335412	14.0103652321509	14.6450899039494	-3.47660648335412	-3.47660648335412
ERR260191	-3.5220884723756	14.6345616324779	-3.5220884723756	-3.5220884723756	-3.5220884723756	13.8962479130146	13.9869532288016	15.0445696493566	13.8660795006818	13.8987569011706	-3.5220884723756	13.8413599305441	-3.5220884723756	16.3513483057353	14.7973964161146	-3.5220884723756	-3.5220884723756	-3.5220884723756	-3.5220884723756	-3.5220884723756	-3.5220884723756
ERR260192	-3.554455035677	-3.554455035677	-3.554455035677	-3.554455035677	-3.554455035677	15.4277254404728	15.2481560400753	13.5103519526951	14.1088770377765	15.2449429333377	-3.554455035677	13.8157891379006	-3.554455035677	14.6881499373627	14.701391170413	-3.554455035677	-3.554455035677	-3.554455035677	-3.554455035677	-3.554455035677	-3.554455035677
