"","Genus","direction","estimate","std.error","statistic","p.value","q_value"
"1","g__Bacteroidaceae_unclassified","Sick-enriched",-0.231475962202117,0.0372917397225594,-6.20716447996892,8.29817360113459e-09,1.38611911758564e-07
"2","g__Escherichia","Sick-enriched",-0.0742721279098037,0.0174263697177708,-4.26205395114874,4.09882203802611e-05,0.000269351162498859
"3","g__Tannerellaceae_unclassified","Sick-enriched",-0.0652572925567886,0.00966627354611234,-6.75102895086538,5.82333382418534e-10,2.67873355912526e-08
"4","g__Rikenellaceae_unclassified","Sick-enriched",-0.0521570413510753,0.0161738302301443,-3.2247798207914,0.0016310315840409,0.00750274528658812
"5","g__Bacteroidales_unclassified","Sick-enriched",-0.00339082336611534,0.00126229332223631,-2.68624043745084,0.0082684399951397,0.0345771127069479
"6","g__Dialister","Healthy-enriched",0.0241222690523696,0.0095204696921727,2.53372678369029,0.0125965355275763,0.044572356482193
"7","g__Streptococcus","Healthy-enriched",0.0245556079349926,0.00964475470033263,2.54600647688279,0.0121846158755684,0.044572356482193
"8","g__Dorea","Healthy-enriched",0.0251184193184518,0.00523787481914451,4.79553639324171,4.7812063484679e-06,3.66559153382539e-05
"9","g__Coprococcus","Healthy-enriched",0.0422464031150859,0.0126300252455457,3.34491834289761,0.00110398519157775,0.00564259097917518
"10","g__Faecalibacterium","Healthy-enriched",0.047839175983145,0.0129181527433964,3.70325207739937,0.000325157371559504,0.00186965488646715
"11","g__Ruminococcaceae_unclassified","Healthy-enriched",0.0910002793070563,0.0188207359656478,4.83510737694598,4.05177887941974e-06,3.66559153382539e-05
"12","g__Ruminococcus","Healthy-enriched",0.109654793542804,0.0177168561276298,6.18929186718378,9.03990728860198e-09,1.38611911758564e-07
"13","g__Eubacterium","Healthy-enriched",0.129410370381066,0.0231021290581752,5.60166424727295,1.41003074697444e-07,1.62153535902061e-06
