"","Genus","Species","direction","estimate","std.error","statistic","p.value","q_value"
"1","g__Bacteroides","s__Bacteroides stercoris","Sick-enriched",-0.0555562225417256,0.0129764056118105,-4.28132598530682,3.78255727590026e-05,0.000637631083651758
"2","g__Alistipes","s__Alistipes putredinis","Sick-enriched",-0.0503793981285816,0.013348782442316,-3.77408189445636,0.0002519173431472,0.00340909258096653
"3","g__Escherichia","s__Escherichia coli","Sick-enriched",-0.0464864970370358,0.0166198180479426,-2.79705210387609,0.00601611019901824,0.0373632107096922
"4","g__Bacteroides","s__Bacteroides ovatus","Sick-enriched",-0.0341640567653166,0.0104980430002765,-3.25432623627248,0.00147999689803539,0.0124742595691554
"5","g__Phocaeicola","s__Phocaeicola vulgatus","Sick-enriched",-0.0337947312512901,0.00973640092969599,-3.47096750588981,0.000723337530447576,0.00775943896298309
"6","g__Phocaeicola","s__Phocaeicola massiliensis","Sick-enriched",-0.0310082442016613,0.0108477427979724,-2.85849736476581,0.00502687667644264,0.0329539693233462
"7","g__Bacteroides","s__Bacteroides caccae","Sick-enriched",-0.0188401400485125,0.00576458948655569,-3.2682535490952,0.00141480370055714,0.0124742595691554
"8","g__Ruminococcus_B","s__Ruminococcus_B gnavus","Sick-enriched",-0.0116226790874632,0.00386880755036191,-3.00420192427922,0.003247172396666,0.0225391966356817
"9","g__Collinsella","s__Collinsella aerofaciens_G","Healthy-enriched",0.00827349449037891,0.00266118125979979,3.1089556413761,0.00234930680374449,0.018156273583192
"10","g__Bariatricus","s__Bariatricus comes","Healthy-enriched",0.0100518320609072,0.00324885160061636,3.09396466708428,0.00246186760450061,0.018156273583192
"11","g__Blautia_A","s__Blautia_A obeum","Healthy-enriched",0.0120065905832972,0.00318880261392896,3.76523480344985,0.00026001553583643,0.00340909258096653
"12","g__Holdemanella","s__Holdemanella biformis","Healthy-enriched",0.0180790652321294,0.00552481936227019,3.27233598904501,0.00139620818264589,0.0124742595691554
"13","g__Dorea_A","s__Dorea_A amylophila","Healthy-enriched",0.0203244918353077,0.00463247683132356,4.38739200979461,2.49502806064889e-05,0.000490688851927614
"14","g__Coprococcus","s__Coprococcus aceti","Healthy-enriched",0.030814095459481,0.0113987193925828,2.70329450162022,0.00787092641303464,0.0464384658369044
"15","g__Anaerobutyricum","s__Anaerobutyricum hallii","Healthy-enriched",0.0323070718224976,0.00498842163881716,6.47641161105984,2.2055234859218e-09,1.30125885669386e-07
"16","g__Dialister","s__Dialister invisus","Healthy-enriched",0.0415766742181954,0.00763522759996884,5.44537457120009,2.82353193566659e-07,8.32941921021645e-06
"17","g__Faecalibacterium","s__Faecalibacterium duncaniae","Healthy-enriched",0.0507496325903054,0.0145446989822824,3.4892184879265,0.000680003300957535,0.00775943896298309
"18","g__Blautia_A","s__Blautia_A sp964240875","Healthy-enriched",0.0580951437441389,0.00833417111619992,6.97071645567895,1.88736659725671e-10,2.22709258476291e-08
"19","g__Ruminococcoides","s__Ruminococcoides intestinale","Healthy-enriched",0.0703366003599635,0.0155009581821028,4.53756468043204,1.3690702532786e-05,0.000323100579773749
"20","g__Agathobacter","s__Agathobacter rectalis","Healthy-enriched",0.113826773116347,0.0207406937263423,5.48808900117828,2.32926594624647e-07,8.32941921021645e-06
