"Genus","direction","estimate","std.error","statistic","p.value","q_value"
"g__Tannerellaceae_unclassified","China-enriched",-13.6589787832639,1.41822478857784,-9.63103937631834,1.50216076205222e-16,6.90993950544021e-15
"g__Escherichia","China-enriched",-9.46975365837162,1.69742750092908,-5.57888549183303,1.56406071411546e-07,2.39822642831037e-06
"g__Rikenellaceae_unclassified","China-enriched",-6.38275301354211,1.98630706675658,-3.21337678366339,0.00169170174541124,0.0077818280288917
"g__Bacteroidaceae_unclassified","China-enriched",-4.70631561054218,1.22469908945118,-3.84283425298473,0.000197408691261864,0.00113509997475572
"g__Megamonas","China-enriched",-3.99745923840077,1.52545611285408,-2.62050097981622,0.00993479225200594,0.0351538802763287
"g__Megasphaera","China-enriched",-3.98410209183974,1.33054435441595,-2.99433993208637,0.00335159279083554,0.0128477723648696
"g__Bacteroidales_unclassified","China-enriched",-2.75585720353126,0.912686703184209,-3.01949967487917,0.00310384504147454,0.0128477723648696
"g__Dialister","Europe-enriched",6.11980574818693,1.71385044975192,3.57079332626297,0.000516025042605765,0.00263746132887391
"g__Coprococcus","Europe-enriched",7.40040991822736,1.61416478737147,4.58466816778867,1.13907041442875e-05,7.4853198662461e-05
"g__Dorea","Europe-enriched",8.00380773023987,1.53995667659634,5.19742396125725,8.57805908501883e-07,7.89181435821732e-06
"g__Eubacterium","Europe-enriched",8.89838200587845,1.56991204977245,5.66807676084033,1.04089964906391e-07,2.394069192847e-06
"g__Ruminococcaceae_unclassified","Europe-enriched",8.99215505893637,1.86108089796586,4.83168414052537,4.11035186164215e-06,3.15126976059232e-05
"g__Ruminococcus","Europe-enriched",9.5674354357626,1.81301596597605,5.27708283617453,6.04539585357191e-07,6.95220523160769e-06
