"","Genus","direction","log2_fc","p_value","q_value"
"1","g__Tannerellaceae_unclassified","China-enriched",-15.6259258653455,5.99574404274179e-15,2.75804225966122e-13
"2","g__Fusobacterium","China-enriched",-12.6947004127018,0.0159233699609551,0.0406930565668854
"3","g__Oscillibacter","China-enriched",-11.8633855043444,0.00963192298155854,0.0295378971434462
"4","g__Megamonas","China-enriched",-4.34701218123316,0.000141302918012443,0.00064999342285724
"5","g__Megasphaera","China-enriched",-4.13614641243646,0.00196835398520041,0.00696494487070915
"6","g__Rikenellaceae_unclassified","China-enriched",-2.55866965839119,4.5794392358053e-05,0.000234060227607826
"7","g__Escherichia","China-enriched",-2.2922854822843,0.000475479847318149,0.00198837027060317
"8","g__Bacteroidaceae_unclassified","China-enriched",-1.61326726944743,9.82824575004389e-12,2.26049652251009e-10
"9","g__Clostridium","China-enriched",-0.607945962092857,0.0151315086304342,0.0406930565668854
"10","g__Faecalibacterium","Europe-enriched",0.869473414027238,0.0017082858366083,0.0065484290403318
"11","g__Eubacterium","Europe-enriched",1.39937372526933,2.39194112406117e-10,2.75073229267035e-09
"12","g__Dialister","Europe-enriched",1.950934736499,5.14040812140814e-06,2.95573466980968e-05
"13","g__Ruminococcus","Europe-enriched",2.0408994249539,2.07970786846956e-11,3.18888539831999e-10
"14","g__Ruminococcaceae_unclassified","Europe-enriched",2.10867521220228,1.00447207926969e-09,9.24114312928117e-09
"15","g__Streptococcus","Europe-enriched",3.63438906882752,0.00519895606950152,0.0170822842283621
"16","g__Coprococcus","Europe-enriched",4.0581208618329,1.72813417071918e-08,1.13563102647261e-07
"17","g__Dorea","Europe-enriched",4.83822399396929,2.72785621000413e-09,2.09135642766983e-08
"18","g__Methanobrevibacter","Europe-enriched",13.4508866165195,0.0109730204521087,0.0315474337998126
