"","Genus","Species","direction","log2_fc","p_value","q_value"
"1","g__Bacteroides","s__Bacteroides stercoris","China-enriched",-15.7174245782478,1.51819991155361e-06,2.98579315938876e-05
"2","g__Bifidobacterium","s__Bifidobacterium breve","China-enriched",-15.0247028919335,0.00963192298155854,0.0437141119932272
"3","g__Ruminococcus_B","s__Ruminococcus_B gnavus","China-enriched",-13.342101110347,0.00125128673209777,0.00820287968819648
"4","g__Parabacteroides","s__Parabacteroides distasonis_A","China-enriched",-12.929022434764,0.00963192298155854,0.0437141119932272
"5","g__Bacteroides","s__Bacteroides ovatus","China-enriched",-4.58020387275007,0.00098390686859412,0.00798563079684931
"6","g__Phocaeicola","s__Phocaeicola massiliensis","China-enriched",-4.41972118152083,0.00101512255892152,0.00798563079684931
"7","g__Alistipes","s__Alistipes putredinis","China-enriched",-3.61392691679609,1.75523472948788e-05,0.000258897122599462
"8","g__Bacteroides","s__Bacteroides fragilis","China-enriched",-3.2497015872945,0.00122249012993797,0.00820287968819648
"9","g__Bacteroides","s__Bacteroides caccae","China-enriched",-3.20320025513287,0.0020189110826327,0.0125385004079294
"10","g__Bacteroides","s__Bacteroides thetaiotaomicron","China-enriched",-2.59451861878606,0.00453380153044984,0.0222911908580451
"11","g__Phocaeicola","s__Phocaeicola dorei","China-enriched",-2.38456641747425,0.0032652163856379,0.0175134333411487
"12","g__Escherichia","s__Escherichia coli","China-enriched",-1.99415269045499,0.00347296689288515,0.0178178301461064
"13","g__Phocaeicola","s__Phocaeicola vulgatus","China-enriched",-1.95807439115188,0.00254224035323792,0.0142849696039083
"14","g__Faecalibacterium","s__Faecalibacterium duncaniae","Europe-enriched",1.00099720569759,0.000853145761052738,0.0077439384464787
"15","g__Bifidobacterium","s__Bifidobacterium adolescentis","Europe-enriched",1.08883091411414,0.010965123650169,0.0462434433338868
"16","g__Ruminococcoides","s__Ruminococcoides intestinale","Europe-enriched",1.75186950435262,3.05217352198887e-06,5.14509250849553e-05
"17","g__Agathobacter","s__Agathobacter rectalis","Europe-enriched",2.09068624590053,7.15895279460177e-08,2.11189107440752e-06
"18","g__Coprococcus","s__Coprococcus aceti","Europe-enriched",3.87072193961234,0.000279913814279629,0.00275248584041635
"19","g__Dialister","s__Dialister invisus","Europe-enriched",4.1863633127199,3.3705121637899e-08,1.32573478442403e-06
"20","g__Dorea_A","s__Dorea_A amylophila","Europe-enriched",6.5753763156446,1.24921510051641e-06,2.94814763721873e-05
"21","g__Blautia_A","s__Blautia_A sp964240875","Europe-enriched",7.59171783392498,1.12442422851258e-11,1.32682058964485e-09
"22","g__Collinsella","s__Collinsella aerofaciens_G","Europe-enriched",12.875820228979,0.00238697607819203,0.014083158861333
"23","g__Bariatricus","s__Bariatricus comes","Europe-enriched",13.3517316886033,0.000234550882247949,0.00251609128229618
"24","g__Blautia_A","s__Blautia_A obeum","Europe-enriched",13.500008726342,0.000106656139760456,0.00139838049908153
"25","g__W3P20-009","s__W3P20-009 sp963616565","Europe-enriched",14.0544108708675,0.00110828107168273,0.00817357290366014
"26","g__Holdemanella","s__Holdemanella biformis","Europe-enriched",14.0781830792533,0.000234550882247949,0.00251609128229618
"27","g__Butyrivibrio_A","s__Butyrivibrio_A crossota","Europe-enriched",14.2231461984289,0.0109730204521087,0.0462434433338868
"28","g__Anaerobutyricum","s__Anaerobutyricum hallii","Europe-enriched",15.1490329777018,2.77383373764867e-11,1.63656190521271e-09
