Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
ERR2641635_bin.10	95.71	1.46	Gradient Boost (General Model)	11	0.896	51132	312.1915857605178	1612463	0.28	1545	53	140276	None
ERR2641635_bin.11	10.23	0.02	Neural Network (Specific Model)	11	0.85	35496	289.25714285714287	356714	0.41	350	21	47543	None
ERR2641635_bin.12	83.23	0.23	Neural Network (Specific Model)	11	0.925	5505	308.1593977154725	1921441	0.37	1926	439	22478	None
ERR2641635_bin.13	67.47	3.71	Neural Network (Specific Model)	11	0.853	85178	342.5980392156863	1842430	0.37	1530	41	127058	None
ERR2641635_bin.14	97.64	0.35	Gradient Boost (General Model)	11	0.871	20418	312.74464710547187	2711376	0.33	2522	210	95783	None
ERR2641635_bin.15	7.7	0.09	Neural Network (Specific Model)	11	0.856	6961	241.7659574468085	238063	0.45	282	41	25140	None
ERR2641635_bin.17	75.41	9.66	Neural Network (Specific Model)	11	0.875	50985	315.19600222098836	1942755	0.6	1801	64	165033	None
ERR2641635_bin.19	83.4	0.24	Neural Network (Specific Model)	11	0.892	21944	317.41011517275916	2129057	0.42	1997	149	111847	None
ERR2641635_bin.21	16.0	0.0	Neural Network (Specific Model)	11	0.948	3573	289.40281690140847	324445	0.5	355	105	7605	None
ERR2641635_bin.23	86.7	8.74	Neural Network (Specific Model)	11	0.87	31264	292.7791155360037	4353780	0.41	4319	314	126656	None
ERR2641635_bin.25	71.07	0.49	Neural Network (Specific Model)	11	0.897	21155	340.87874659400546	1671504	0.44	1468	114	57938	None
ERR2641635_bin.26	77.19	18.11	Neural Network (Specific Model)	11	0.882	106094	353.5688532799199	2397638	0.6	1997	34	598462	None
ERR2641635_bin.28	26.79	10.09	Neural Network (Specific Model)	11	0.849	12543	253.1838681699913	2056587	0.37	2306	273	72107	None
ERR2641635_bin.3	41.56	0.11	Neural Network (Specific Model)	11	0.898	213323	328.3245033112583	827252	0.59	755	5	274123	None
ERR2641635_bin.30	90.4	3.29	Gradient Boost (General Model)	11	0.899	23643	279.2484761563284	2592960	0.29	2789	216	72089	None
ERR2641635_bin.36	79.39	15.31	Neural Network (Specific Model)	11	0.897	7123	297.0143299767622	2560057	0.44	2582	481	30772	None
ERR2641635_bin.37	87.72	9.09	Neural Network (Specific Model)	11	0.864	20628	316.0393824826717	3478541	0.42	3174	268	114554	None
ERR2641635_bin.4	7.9	0.01	Neural Network (Specific Model)	11	0.835	21557	223.61142857142858	280570	0.44	350	20	53032	None
ERR2641635_bin.40	82.28	0.96	Neural Network (Specific Model)	11	0.905	199811	381.49488817891375	3951478	0.41	3130	47	615599	None
ERR2641635_bin.41	94.05	92.39	Neural Network (Specific Model)	11	0.887	23220	311.8889342588812	5156614	0.42	4898	368	74923	None
ERR2641635_bin.42	86.89	56.52	Neural Network (Specific Model)	11	0.873	29635	313.67652399481193	4148656	0.59	3855	224	188053	None
ERR2641635_bin.43	80.76	2.0	Neural Network (Specific Model)	11	0.875	27290	315.8495145631068	1782821	0.6	1648	97	72630	None
ERR2641635_bin.45	51.43	15.63	Neural Network (Specific Model)	11	0.879	12438	315.09573934837096	2141559	0.45	1995	241	60968	None
ERR2641635_bin.46	12.98	0.01	Neural Network (Specific Model)	11	0.869	293039	339.6461038961039	360418	0.61	308	2	293039	None
ERR2641635_bin.48	23.73	0.01	Neural Network (Specific Model)	11	0.883	147195	317.09871244635195	1001831	0.42	932	15	256112	None
ERR2641635_bin.49	96.77	4.6	Neural Network (Specific Model)	11	0.89	78301	332.12839423399265	3331946	0.43	2983	78	389603	None
ERR2641635_bin.5	18.96	0.01	Neural Network (Specific Model)	11	0.906	106548	347.6179487179487	448467	0.62	390	11	123907	None
ERR2641635_bin.50	97.46	2.08	Neural Network (Specific Model)	11	0.911	24257	321.6523221133362	2481628	0.38	2347	155	84987	None
ERR2641635_bin.51	91.53	1.4	Neural Network (Specific Model)	11	0.906	63781	317.29575228265185	2640144	0.44	2519	67	171248	None
ERR2641635_bin.53	36.63	0.08	Neural Network (Specific Model)	11	0.921	3464	262.88129032258064	662429	0.46	775	207	12488	None
ERR2641635_bin.54	6.84	0.02	Neural Network (Specific Model)	11	0.86	9631	295.83093525179856	286666	0.36	278	37	34407	None
ERR2641635_bin.56	91.51	0.06	Neural Network (Specific Model)	11	0.841	11432	316.05496108949416	2312764	0.57	2056	266	44740	None
ERR2641635_bin.58	5.4	0.0	Neural Network (Specific Model)	11	0.917	48204	294.42857142857144	235576	0.48	245	5	100172	None
ERR2641635_bin.6	35.34	0.02	Neural Network (Specific Model)	11	0.909	102380	374.93737640079104	1875426	0.44	1517	26	234064	None
ERR2641635_bin.60	8.25	0.08	Neural Network (Specific Model)	11	0.866	31502	276.5747663551402	204479	0.48	214	12	43873	None
ERR2641635_bin.61	57.86	0.04	Neural Network (Specific Model)	11	0.917	117414	358.23703703703706	2528814	0.46	2160	32	240482	None
ERR2641635_bin.62	31.78	0.4	Neural Network (Specific Model)	11	0.85	39082	318.4519131334023	1085714	0.36	967	43	133744	None
ERR2641635_bin.63	80.2	0.37	Neural Network (Specific Model)	11	0.892	21275	321.18722271517305	2430859	0.49	2254	201	69963	None
ERR2641635_bin.64	98.63	24.17	Neural Network (Specific Model)	11	0.911	12138	354.9356420927467	7852489	0.42	6728	1015	143750	None
ERR2641635_bin.66	94.28	0.31	Neural Network (Specific Model)	11	0.896	63643	348.85508218718553	3477694	0.41	2981	103	170367	None
ERR2641635_bin.7	47.79	2.94	Gradient Boost (General Model)	11	0.904	3886	291.626423690205	1272663	0.47	1317	360	19625	None
ERR2641635_bin.8	41.14	7.0	Neural Network (Specific Model)	11	0.861	3369	274.11746987951807	1267310	0.38	1328	410	11535	None
ERR2641677_bin.10	39.82	0.02	Gradient Boost (General Model)	11	0.908	10161	308.09862142099684	958562	0.47	943	128	30464	None
