user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR2641635_bin.10	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	GCA_004000625.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis	98.7	0.87	GCA_963626055.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp963626055	93.72	0.747	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	N/A	N/A	92.32	11	N/A	N/A
ERR2641635_bin.13	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	GCF_009680455.1	95.58	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	98.81	0.918	GCF_009680455.1	95.58	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A	98.81	0.918	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_030537195.1, s__Lachnospira sp030537195, 95.0, 89.95, 0.556; GCA_934343805.1, s__Lachnospira sp934343805, 95.0, 89.5, 0.381; GCF_000146185.1, s__Lachnospira eligens, 95.0, 96.23, 0.746; GCA_945910225.1, s__Lachnospira sp945910225, 95.0, 87.18, 0.332; GCA_003464165.1, s__Lachnospira sp003451515, 95.0, 95.24, 0.688; GCA_963597265.1, s__Lachnospira sp963597265, 95.0, 90.41, 0.552; GCA_963590775.1, s__Lachnospira sp963590775, 95.0, 89.76, 0.511; GCA_963654395.1, s__Lachnospira sp963654395, 95.0, 86.9, 0.244; GCA_019424245.1, s__Lachnospira sp019424245, 95.0, 96.96, 0.43; GCF_003458705.1, s__Lachnospira sp003537285, 95.44, 94.87, 0.683	81.92	11	N/A	N/A
ERR2641635_bin.32	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	GCA_000436535.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	99.05	0.915	GCA_000436535.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535	99.05	0.915	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_000436475.1, s__Lachnospira sp000436475, 95.0, 86.66, 0.199	81.98	11	N/A	N/A
ERR2641635_bin.34	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	GCF_020687385.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	98.3	0.884	GCF_020687385.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis	98.3	0.884	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.93	11	N/A	N/A
ERR2641635_bin.35	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	GCF_045061065.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	98.69	0.869	GCF_045061065.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis	98.69	0.869	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002474415.1, s__Roseburia sp002474415, 95.0, 91.61, 0.53	79.12	11	N/A	N/A
ERR2641635_bin.38	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	GCF_025567015.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	98.27	0.858	GCF_025567015.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens	98.27	0.858	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_002431915.1, s__Acetatifactor sp002431915, 95.0, 86.09, 0.302; GCA_050872885.1, s__Acetatifactor sp050872885, 95.0, 85.07, 0.228; GCA_963650795.1, s__Acetatifactor sp963650795, 95.0, 86.67, 0.281; GCA_934394665.1, s__Acetatifactor sp934394665, 95.0, 85.69, 0.21; GCF_009695995.1, s__Acetatifactor intestinalis, 95.0, 88.19, 0.384; GCA_040096245.1, s__Acetatifactor hominis, 95.0, 89.16, 0.409; GCA_900771995.1, s__Acetatifactor sp900771995, 95.0, 88.19, 0.462; GCA_934436245.1, s__Acetatifactor sp934436245, 95.0, 87.58, 0.363; GCA_050873925.1, s__Acetatifactor sp050873925, 95.0, 90.17, 0.523; GCA_945929965.1, s__Acetatifactor sp945929965, 95.36, 88.28, 0.373; GCA_963623435.1, s__Acetatifactor sp963623435, 95.0, 86.65, 0.269; GCA_900766575.1, s__Acetatifactor sp900766575, 95.0, 86.69, 0.31; GCA_900772845.1, s__Acetatifactor sp900772845, 95.0, 89.37, 0.46; GCA_934436435.1, s__Acetatifactor sp934436435, 95.0, 88.0, 0.386; GCA_934394815.1, s__Acetatifactor sp934394815, 95.0, 88.25, 0.448; GCA_934394515.1, s__Acetatifactor sp934394515, 95.0, 85.63, 0.224; GCA_963630275.1, s__Acetatifactor sp963630275, 95.0, 86.74, 0.295	85.57	11	N/A	N/A
ERR2641635_bin.41	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275	GCA_000432275.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275	98.82	0.946	GCA_000432275.1	95.0	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275	98.82	0.946	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	91.4	11	N/A	N/A
ERR2641635_bin.49	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	GCF_900537995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	98.95	0.89	GCF_900537995.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	98.95	0.89	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934317215.1, s__Roseburia sp934317215, 95.0, 94.31, 0.667; GCF_014287515.2, s__Roseburia rectibacter, 95.0, 90.91, 0.571; GCA_003483745.1, s__Roseburia sp003483745, 95.0, 90.99, 0.562	85.97	11	N/A	N/A
ERR2641635_bin.5	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	98.65	0.815	GCF_003024685.1	95.0	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis	98.65	0.815	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Faecalibacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958421935.1, s__Faecalibacillus sp900544435, 95.0, 92.11, 0.597; GCA_963618275.1, s__Faecalibacillus sp963618275, 95.0, 90.85, 0.518; GCA_030540195.1, s__Faecalibacillus sp030540195, 95.0, 89.6, 0.392; GCF_003024675.1, s__Faecalibacillus faecis, 95.0, 90.85, 0.451	73.39	11	N/A	N/A
ERR2641635_bin.52	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	GCF_025567525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	98.48	0.873	GCF_025567525.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum	98.48	0.873	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	65.81	11	N/A	N/A
