# dbCAN summary
# Input:    /maps/projects/course_1/scratch/group3/group-project-group-3/week19-mags/10_annotation_cazymes/
# Taxonomy: /maps/projects/course_1/people/fvb335/08_taxa_gtdbtk/classify/gtdbtk.bac120.summary.tsv
# Genomes:  67
# Generated: 2026-05-07T13:12:33Z

## MAGs per bodysite
bodysite	n_MAGs
gut_adult	43
gut_infant	17
vaginal	7

## Per-MAG table (bodysite | genome | total | GH | PL | unique_substrates | taxonomy)
bodysite	genome	total	GH	PL	unique_substrates	taxonomy
gut_adult	ERR2641635_bin.10	99	47	0	18	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger qucibialis
gut_adult	ERR2641635_bin.13	73	27	2	10	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A
gut_adult	ERR2641635_bin.32	82	27	6	8	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp000436535
gut_adult	ERR2641635_bin.34	83	44	11	19	d__Bacteria;p__Bacillota;c__Clostridia;o__UBA1381;f__UBA1381;g__Hominilimicola;s__Hominilimicola fabiformis
gut_adult	ERR2641635_bin.35	86	57	0	23	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia faecis
gut_adult	ERR2641635_bin.38	127	71	2	23	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor acetigignens
gut_adult	ERR2641635_bin.41	35	10	0	6	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__RF32;f__CAG-239;g__CAZU01;s__CAZU01 sp000432275
gut_adult	ERR2641635_bin.49	138	89	0	30	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis
gut_adult	ERR2641635_bin.52	140	78	0	23	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Gallintestinimicrobium;s__Gallintestinimicrobium propionicum
gut_adult	ERR2641635_bin.57	44	14	0	9	d__Bacteria;p__Bacillota;c__Clostridia;o__TANB77;f__CAG-508;g__Merdicola;s__Merdicola sp001915925
