n_scaffolds	n_contigs	scaf_bp	contig_bp	gap_pct	scaf_N50	scaf_L50	ctg_N50	ctg_L50	scaf_N90	scaf_L90	ctg_N90	ctg_L90	scaf_max	ctg_max	scaf_n_gt50K	scaf_pct_gt50K	gc_avg	gc_std	filename
23348	23348	170752088	170752088	0.000	2001	18151	2001	18151	14132	2343	14132	2343	615599	615599	455	23.890	0.44468	0.07814	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_adult/ERR2641635/final.contigs.fa
28759	28759	197770542	197770542	0.000	2616	14933	2616	14933	18000	2312	18000	2312	370725	370725	508	22.665	0.45895	0.08628	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_adult/ERR2641677/final.contigs.fa
36927	36927	202395143	202395143	0.000	4243	8976	4243	8976	25347	2057	25347	2057	391881	391881	356	15.984	0.49347	0.08230	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_adult/ERR2641733/final.contigs.fa
3137	3137	49462935	49462935	0.000	148	79573	148	79573	1168	4697	1168	4697	832773	832773	234	60.914	0.42536	0.10597	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_infant/SRR8692206/final.contigs.fa
3185	3185	61890850	61890850	0.000	162	102513	162	102513	935	8091	935	8091	594509	594509	320	68.350	0.49156	0.08491	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_infant/SRR8692207/final.contigs.fa
3272	3272	51190587	51190587	0.000	136	95171	136	95171	1130	4545	1130	4545	544421	544421	257	66.628	0.48002	0.08457	/maps/projects/course_1/people/fvb335/04_assembly_megahit/gut_infant/SRR8692213/final.contigs.fa
6680	6680	44419335	44419335	0.000	598	13003	598	13003	4293	2325	4293	2325	302362	302362	112	24.932	0.43455	0.08274	/maps/projects/course_1/people/fvb335/04_assembly_megahit/vaginal/SRR059458/final.contigs.fa
6666	6666	44374311	44374311	0.000	549	13340	549	13340	4276	2301	4276	2301	446525	446525	115	26.087	0.43458	0.08299	/maps/projects/course_1/people/fvb335/04_assembly_megahit/vaginal/SRR059459/final.contigs.fa
212	212	3681257	3681257	0.000	27	32433	27	32433	118	7721	118	7721	154151	154151	16	37.926	0.35732	0.03022	/maps/projects/course_1/people/fvb335/04_assembly_megahit/vaginal/SRR513791/final.contigs.fa
